takeoff_name,club,takeoff_lat,takeoff_lon,telegram_group_name
Brighstone,Isle of Wight,50.65169,-1.38317,Isle of Wight
Brigsteer,Dales,54.29617,-2.79064,Dales
Broadlee Bank,Derbyshire,53.37,-1.83582,Derbyshire
Broughton Heights,LLSC,55.66144,-3.40388,LLSC
Brownber Hill,Northumbria,54.648575,-2.45711,Northumbria
Bruthac Nan Uamh,Highland,57.1652,-4.9924599999999995,Highland
Bryn Banog,Snowdonia,52.98795,-4.12414,Snowdonia
Bryncaws,SW Wales,51.712360000000004,-3.78954,SW Wales
Buck Of Cabrach,Aberdeen,57.29813,-2.97968,Aberdeen
Builth Wells,Joint Services,52.16302,-3.34222,Joint Services
Bunster,Derbyshire,53.06035,-1.791695,Derbyshire
Burger Van,SMPC,56.430315,-4.324195,SMPC
Burn Fell,Pennine,53.97338,-2.49325,Pennine
Burnbank,Cumbria,54.57997,-3.3720100000000004,Cumbria
Burney,Cumbria,54.26124,-3.13794,Cumbria
Butser West,Sky Surfing,50.97682,-0.98785,Sky Surfing
Buttermere Moss,Cumbria,54.542225,-3.257675,Cumbria
Cacra,LLSC,55.4435,-3.07375,LLSC
Cairn An Righ,Highland,56.874790000000004,-3.610235,Highland
Cairn O Mount,Aberdeen,56.914,-2.575745,Aberdeen
Cairn Vaich,Aberdeen,57.179775,-3.2662050000000002,Aberdeen
Cairngorm,Highland,57.11905,-3.64523,Highland
Cairnwell,Aberdeen,56.87667,-3.42092,Aberdeen
Camlo,Mid Wales,52.32208,-3.42097,Mid Wales
Campsie Fells,LLSC,55.992965,-4.218045,LLSC
Captain Cooks,North Yorks,54.48282,-1.09143,North Yorks
Cardon Hill,LLSC,55.57002,-3.48178,LLSC
Carlton Bank,North Yorks,54.4155,-1.20225,North Yorks
Carn Ban,Highland,57.42762,-4.78808,Highland
Carn Brea,Kernow,50.221315000000004,-5.2496,Kernow
Carn Dubh,Highland,57.00037,-4.44227,Highland
Carn Ghluasaid,Highland,57.156040000000004,-5.075125,Highland
Carn Liath,Highland,56.80353,-3.74793,Highland
Carn Moine,Aberdeen,57.0533,-3.27857,Aberdeen
Carn Na Caim,Highland,56.9202,-4.1830750000000005,Highland
Carn Nam Feuaich,Highland,57.166375,-5.017715,Highland
Carrock Fell,Cumbria,54.69762,-3.015975,Cumbria
Catacol,SMPC,55.69668,-5.31787,SMPC
Catbells,Cumbria,54.57328,-3.16953,Cumbria
Cats Tor,Derbyshire,53.28013,-2.00997,Derbyshire
Cautley,Dales,54.37131,-2.481585,Dales
Chalton,Sky Surfing,50.929514999999995,-0.954245,Sky Surfing
Charmouth,Condors,50.733045,-2.89324,Condors
Cherhill,Gap,51.42457,-1.93176,Gap
Chillerton,Isle of Wight,50.647735,-1.32695,Isle of Wight
Chinkwell Tor,South Devon,50.588645,-3.797265,South Devon
Chinnor,Dunstable,51.69957,-0.89113,Dunstable
Choinneachain Hill,SMPC,56.42272,-3.91312,SMPC
Clatter,Mid Wales,52.557375,-3.469925,Mid Wales
Clough Head,Cumbria,54.5974,-3.04325,Cumbria
Cock Up,Cumbria,54.673275000000004,-3.1500000000000004,Cumbria
Cocking Tor,Derbyshire,53.1431,-1.4824600000000001,Derbyshire
Codden Hill,North Devon,51.04903,-4.0232399999999995,North Devon
Cogden,Condors,50.694735,-2.717035,Condors
Coiliochbhar,Aberdeen,57.23063,-2.81837,Aberdeen
Coire Nan Cisteachan,Highland,56.89856,-4.205220000000001,Highland
Combe Gibbet,Thames Valley,51.35858,-1.480475,Thames Valley
Compton Reds,Isle of Wight,50.662695,-1.473465,Isle of Wight
Coniston Old Man,Cumbria,54.36845,-3.11632,Cumbria
